Designator,Footprint,Quantity,Value,LCSC Part #
"_15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,15,,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,PKM13EPYH4000-A0,
"C1, C4",CP_Radial_D5.0mm_P2.00mm,2,22uf,
"C2, C3, C5, C7, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,5,0.1u,
"C6, C8",CP_Radial_D5.0mm_P2.00mm,2,100u,
"D1, D4, D5, D6, D7, D8",LED_D3.0mm,6,LED,
"D2, D3",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
F1,Fuseholder_Clip-5x20mm_Keystone_3517_Inline_P23.11x6.76mm_D1.70mm_Horizontal,1,10A,
"J1, J2",PinSocket_1x17_P2.54mm_Vertical,2,Conn_01x17_Socket,
"J10, J6, J7, J8, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,5,Conn_01x04,
"J11, J12, J13, J14, J15, J16, J17, J18",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,8,Conn_01x03,
"J3, J4, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02,
Q1,TO-252-2,1,TJ60S04M3L,
Q2,TO-92_Inline,1,DTC114E,
"R1, R11, R12, R15, R4, R6, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,1k,
"R10, R13, R14, R2, R3, R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,7,10k,
"SW1, SW3, SW4",SW_PUSH-12mm,3,TVGP01-G73BB,
SW2,IS-2235,1,IS-2235,
"TP1, TP2",TestPoint_THTPad_D1.5mm_Drill0.7mm,2,TestPoint,
U1,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U2,RP2040_akitsuki,1,RP2040,
