Designator,Mid X,Mid Y,Rotation,Layer
_15,-15.0,28.75,0.0,top
_14,-25.0,33.75,0.0,top
_13,-20.0,31.25,0.0,top
_12,-25.0,31.25,0.0,top
_11,-22.5,33.75,0.0,top
_10,-25.0,28.75,0.0,top
_9,-17.5,33.75,0.0,top
_8,-17.5,31.25,0.0,top
_7,-20.0,28.75,0.0,top
_6,-20.0,33.75,0.0,top
_5,-22.5,31.25,0.0,top
_4,-15.0,33.75,0.0,top
_3,-15.0,31.25,0.0,top
_2,-22.5,28.75,0.0,top
,-17.5,28.75,0.0,top
BZ1,-20.5,-2.0,180.0,top
C1,24.25,4.25,180.0,top
C2,19.0,11.5,0.0,top
C3,15.0,32.5,90.0,top
C4,24.25,9.75,0.0,top
C5,23.5,-25.25,90.0,top
C6,24.25,-1.25,180.0,top
C7,15.0,27.75,270.0,top
C8,24.25,-6.75,180.0,top
C9,-17.25,-14.5,90.0,top
D1,-13.5,-15.5,90.0,top
D2,19.5,4.0,90.0,top
D3,23.5,-16.0,270.0,top
D4,-8.5,-15.5,90.0,top
D5,-3.5,-15.5,90.0,top
D6,23.25,32.0,90.0,top
D7,1.5,-15.5,90.0,top
D8,18.75,32.0,90.0,top
F1,18.0,-16.0,90.0,top
J1,-12.0,13.0,0.0,top
J10,20.75,16.5,0.0,top
J11,31.0,0.0,270.0,top
J12,31.0,10.0,270.0,top
J13,31.0,20.0,270.0,top
J14,-31.0,-20.0,90.0,top
J15,-31.0,-10.0,90.0,top
J16,-31.0,0.0,90.0,top
J17,-31.0,10.0,90.0,top
J18,-31.0,20.0,90.0,top
J2,12.0,13.0,0.0,top
J3,31.0,-8.75,270.0,top
J4,29.75,-15.5,0.0,top
J5,29.75,-21.5,0.0,top
J6,-20.75,22.5,0.0,top
J7,-20.75,8.5,0.0,top
J8,-20.75,14.5,0.0,top
J9,20.75,22.5,0.0,top
Q1,22.24,-16.0,180.0,bottom
Q2,-21.64,-15.0,90.0,top
R1,-5.25,9.75,270.0,top
R10,5.25,-3.0,270.0,top
R11,-1.75,-3.0,270.0,top
R12,0.0,28.24,180.0,top
R13,0.0,21.25,180.0,top
R14,0.0,17.75,180.0,top
R15,-20.48,-10.25,180.0,top
R2,1.75,9.75,270.0,top
R3,8.0,-11.0,0.0,top
R4,-5.25,-3.0,270.0,top
R5,1.75,-3.0,270.0,top
R6,-1.75,9.75,270.0,top
R7,5.25,9.75,90.0,top
R8,16.0,4.0,90.0,top
R9,0.0,24.75,180.0,top
SW1,-19.0,-26.5,90.0,top
SW2,20.0,-32.0,0.0,top
SW3,-6.0,-26.5,90.0,top
SW4,7.0,-26.5,270.0,top
U1,18.0,4.0,180.0,bottom
U2,0.0,13.0,0.0,top
