Designator,Mid X,Mid Y,Rotation,Layer
C1_9,50.25,-18.75,0.0,bottom
C1_8,50.250001,-45.749999,0.0,bottom
C1_7,50.250001,-72.750001,0.0,bottom
C1_6,-3.749999,-72.750001,0.0,bottom
C1_5,23.250001,-45.749999,0.0,bottom
C1_4,-3.749999,-45.749999,0.0,bottom
C1_3,23.250001,-72.750001,0.0,bottom
C1_2,-3.75,-18.75,0.0,bottom
C1,23.25,-18.75,0.0,bottom
C2_9,30.75,-18.75,180.0,bottom
C2_8,3.75,-18.75,180.0,bottom
C2_7,30.750001,-45.749999,180.0,bottom
C2_6,3.750001,-45.749999,180.0,bottom
C2_5,57.75,-18.75,180.0,bottom
C2_4,30.750001,-72.750001,180.0,bottom
C2_3,3.750001,-72.750001,180.0,bottom
C2_2,57.750001,-45.749999,180.0,bottom
C2,57.750001,-72.750001,180.0,bottom
C3_9,60.250001,-49.999999,270.0,bottom
C3_8,6.250001,-77.000001,270.0,bottom
C3_7,60.25,-23.0,270.0,bottom
C3_6,33.250001,-49.999999,270.0,bottom
C3_5,6.25,-23.0,270.0,bottom
C3_4,33.250001,-77.000001,270.0,bottom
C3_3,6.250001,-49.999999,270.0,bottom
C3_2,60.250001,-77.000001,270.0,bottom
C3,33.25,-23.0,270.0,bottom
C4_9,0.0,-5.25,180.0,bottom
C4_8,27.0,-5.25,180.0,bottom
C4_7,1e-06,-32.249999,180.0,bottom
C4_6,27.000001,-59.250001,180.0,bottom
C4_5,54.000001,-32.249999,180.0,bottom
C4_4,1e-06,-59.250001,180.0,bottom
C4_3,54.000001,-59.250001,180.0,bottom
C4_2,54.0,-5.25,180.0,bottom
C4,27.000001,-32.249999,180.0,bottom
C5_9,54.000001,-28.249999,180.0,bottom
C5_8,54.0,-1.25,180.0,bottom
C5_7,0.0,-1.25,180.0,bottom
C5_6,54.000001,-55.250001,180.0,bottom
C5_5,1e-06,-28.249999,180.0,bottom
C5_4,1e-06,-55.250001,180.0,bottom
C5_3,27.0,-1.25,180.0,bottom
C5_2,27.000001,-28.249999,180.0,bottom
C5,27.000001,-55.250001,180.0,bottom
C6_9,5.250001,-64.000001,270.0,bottom
C6_8,32.250001,-36.999999,270.0,bottom
C6_7,59.250001,-64.000001,270.0,bottom
C6_6,59.250001,-36.999999,270.0,bottom
C6_5,32.25,-10.0,270.0,bottom
C6_4,32.250001,-64.000001,270.0,bottom
C6_3,5.25,-10.0,270.0,bottom
C6_2,59.25,-10.0,270.0,bottom
C6,5.250001,-36.999999,270.0,bottom
C7_9,-6.25,-23.0,270.0,bottom
C7_8,47.75,-23.0,270.0,bottom
C7_7,20.750001,-49.999999,270.0,bottom
C7_6,20.750001,-77.000001,270.0,bottom
C7_5,47.750001,-49.999999,270.0,bottom
C7_4,-6.249999,-49.999999,270.0,bottom
C7_3,-6.249999,-77.000001,270.0,bottom
C7_2,47.750001,-77.000001,270.0,bottom
C7,20.75,-23.0,270.0,bottom
J1_9,54.000001,-76.500001,180.0,top
J1_8,1e-06,-76.500001,180.0,top
J1_7,54.0,-22.5,180.0,top
J1_6,27.0,-22.5,180.0,top
J1_5,0.0,-22.5,180.0,top
J1_4,1e-06,-49.499999,180.0,top
J1_3,54.000001,-49.499999,180.0,top
J1_2,27.000001,-49.499999,180.0,top
J1,27.000001,-76.500001,180.0,top
J2_9,36.0,-17.0,0.0,bottom
J2_8,9.0,-17.0,0.0,bottom
J2_7,63.0,-17.0,0.0,bottom
J2_6,9.000001,-71.000001,0.0,bottom
J2_5,36.000001,-43.999999,0.0,bottom
J2_4,36.000001,-71.000001,0.0,bottom
J2_3,63.000001,-43.999999,0.0,bottom
J2_2,63.000001,-71.000001,0.0,bottom
J2,9.000001,-43.999999,0.0,bottom
J3_9,18.0,-17.0,180.0,bottom
J3_8,45.000001,-43.999999,180.0,bottom
J3_7,-8.999999,-43.999999,180.0,bottom
J3_6,-9.0,-17.0,180.0,bottom
J3_5,18.000001,-43.999999,180.0,bottom
J3_4,-8.999999,-71.000001,180.0,bottom
J3_3,45.0,-17.0,180.0,bottom
J3_2,45.000001,-71.000001,180.0,bottom
J3,18.000001,-71.000001,180.0,bottom
J4_9,23.250001,-43.499999,180.0,top
J4_8,-3.749999,-43.499999,180.0,top
J4_7,-3.749999,-70.500001,180.0,top
J4_6,23.250001,-70.500001,180.0,top
J4_5,50.250001,-43.499999,180.0,top
J4_4,-3.75,-16.5,180.0,top
J4_3,23.25,-16.5,180.0,top
J4_2,50.25,-16.5,180.0,top
J4,50.250001,-70.500001,180.0,top
J5_9,27.000001,-30.249999,0.0,top
J5_8,27.000001,-57.250001,0.0,top
J5_7,1e-06,-57.250001,0.0,top
J5_6,0.0,-3.25,0.0,top
J5_5,54.000001,-30.249999,0.0,top
J5_4,1e-06,-30.249999,0.0,top
J5_3,27.0,-3.25,0.0,top
J5_2,54.000001,-57.250001,0.0,top
J5,54.0,-3.25,0.0,top
J6_9,30.750001,-43.499999,180.0,top
J6_8,57.75,-16.5,180.0,top
J6_7,30.75,-16.5,180.0,top
J6_6,57.750001,-70.500001,180.0,top
J6_5,3.750001,-43.499999,180.0,top
J6_4,3.750001,-70.500001,180.0,top
J6_3,3.75,-16.5,180.0,top
J6_2,30.750001,-70.500001,180.0,top
J6,57.750001,-43.499999,180.0,top
U1_9,54.000001,-63.750001,90.0,top
U1_8,27.0,-9.75,90.0,top
U1_7,54.0,-9.75,90.0,top
U1_6,1e-06,-63.750001,90.0,top
U1_5,1e-06,-36.749999,90.0,top
U1_4,0.0,-9.75,90.0,top
U1_3,27.000001,-36.749999,90.0,top
U1_2,27.000001,-63.750001,90.0,top
U1,54.000001,-36.749999,90.0,top
U2_9,1e-06,-63.750001,270.0,bottom
U2_8,54.000001,-36.749999,270.0,bottom
U2_7,27.0,-9.75,270.0,bottom
U2_6,54.0,-9.75,270.0,bottom
U2_5,0.0,-9.75,270.0,bottom
U2_4,27.000001,-63.750001,270.0,bottom
U2_3,27.000001,-36.749999,270.0,bottom
U2_2,1e-06,-36.749999,270.0,bottom
U2,54.000001,-63.750001,270.0,bottom
